FU,Benchmark,simTicks,simInsts,simOps,numCycles,cpi,ipc,l1d_accesses,l1d_hits,l1i_accesses,l1i_hits,l1i_misses,l2_accesses,l2_misses
1,int_arithmetic,17316363303.0,51626401.0,75167474.0,52001091.0,1.019629,0.980749,10000541.0,10000541.0,5000971.0,5000965.0,6.0,4.0,4.0
1,independent_int,3493620549.0,14626400.0,22167473.0,10491353.0,0.749382,1.334433,7424088.0,7424088.0,2000617.0,2000611.0,6.0,2.0,2.0
1,float_compute,3330278721.0,18626411.0,26167504.0,10000837.0,0.555602,1.799851,7000139.0,7000139.0,2000551.0,2000544.0,7.0,3.0,3.0
1,memory_access,9301302387.0,37719858.0,59625728.0,27931839.0,0.76108,1.313922,10486253.0,10405515.0,43.0,34.0,9.0,327793.0,32600.0
1,mixed_compute,1663657344.0,6680340.0,11972805.0,4995968.0,0.847014,1.180618,1966306.0,1717527.0,1311397.0,1311395.0,2.0,163947.0,145233.0
2,int_arithmetic,25308381285.0,51626401.0,75167474.0,76001145.0,1.490218,0.671043,10000579.0,10000579.0,5000999.0,5000992.0,7.0,5.0,5.0
2,independent_int,5328195138.0,14626400.0,22167473.0,16000586.0,1.142898,0.874968,7000160.0,7000160.0,2000825.0,2000817.0,8.0,2.0,2.0
2,float_compute,3996236763.0,18626411.0,26167504.0,12000711.0,0.666706,1.499912,7173831.0,7173831.0,2000635.0,2000626.0,9.0,5.0,5.0
2,memory_access,14350486149.0,37719858.0,59625728.0,43094553.0,1.174231,0.851621,10486335.0,10398185.0,48.0,40.0,8.0,327758.0,34912.0
2,mixed_compute,1763372862.0,6680340.0,11972805.0,5295414.0,0.897782,1.113856,1966345.0,1731351.0,1311545.0,1311542.0,3.0,163946.0,144875.0
3,int_arithmetic,17316363969.0,51626401.0,75167474.0,52001093.0,1.019629,0.980749,10000539.0,10000539.0,5000972.0,5000966.0,6.0,4.0,4.0
3,independent_int,3493624878.0,14626400.0,22167473.0,10491366.0,0.749383,1.334431,7299120.0,7299120.0,2000641.0,2000635.0,6.0,2.0,2.0
3,float_compute,3996239760.0,18626411.0,26167504.0,12000720.0,0.666706,1.499911,7000158.0,7000158.0,2000607.0,2000601.0,6.0,3.0,3.0
3,memory_access,9301862493.0,37719858.0,59625728.0,27933521.0,0.761126,1.313842,10486259.0,10405193.0,55.0,44.0,11.0,327796.0,32627.0
3,mixed_compute,1762005564.0,6680340.0,11972805.0,5291308.0,0.897086,1.11472,1966194.0,1731441.0,1311107.0,1311103.0,4.0,163943.0,144769.0
4,int_arithmetic,25308381618.0,51626401.0,75167474.0,76001146.0,1.490218,0.671043,10000578.0,10000578.0,5000995.0,5000988.0,7.0,5.0,5.0
4,independent_int,5328213120.0,14626400.0,22167473.0,16000640.0,1.142902,0.874966,7375118.0,7375118.0,2000853.0,2000845.0,8.0,2.0,2.0
4,float_compute,4677503148.0,18626411.0,26167504.0,14046556.0,0.780364,1.281454,7898063.0,7898063.0,2138215.0,2138206.0,9.0,5.0,5.0
4,memory_access,14352216084.0,37719858.0,59625728.0,43099748.0,1.174372,0.851519,10486340.0,10398270.0,46.0,38.0,8.0,327758.0,34905.0
4,mixed_compute,1825019487.0,6680340.0,11972805.0,5480539.0,0.929168,1.076231,1966360.0,1727088.0,1311693.0,1311690.0,3.0,163947.0,146879.0
